Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1979,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1978,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1977,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1976,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1975,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1974,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1973,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1972,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1971,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1970,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1969,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1968,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1967,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1966,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1965,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1964,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1963,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1962,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1961,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1960
Cuba; Data source; All types,2.99,3.06,2.92,2.79,3.65,3.13,3.01,3.06,2.36,2,1.49,1.88,2.36,2.19,2.24,2.42,2.11,1.88,2.44,
Cuba; Data source; Beer,1.61,1.68,1.68,1.69,1.63,1.42,1.54,1.36,1.08,0.9,0.56,0.74,1.31,0.97,1.02,1.1,0.98,0.88,1.34,
Cuba; Data source; Wine,0.04,0.04,0.08,0.08,0.03,0.02,0.1,0.04,0.05,0.19,0.06,0.19,0.1,0.09,0.11,0.16,0.14,0.01,0.02,
Cuba; Data source; Spirits,1.34,1.34,1.17,1.03,1.99,1.68,1.35,1.66,1.22,0.92,0.86,0.94,0.94,1.12,1.12,1.13,0.98,0.99,1.07,
Cyprus; Data source; All types,5.99,5.69,5.21,4.75,4.67,4.27,5.27,5.42,5,4.76,4.75,4.75,5.18,4.83,5.5,5.22,5.14,4.44,5.15,
Cyprus; Data source; Beer,2.07,1.81,1.62,1.32,1.29,1.3,1.52,1.44,1.28,1.15,1.11,0.91,0.89,0.87,0.95,0.79,0.7,0.71,0.63,
Cyprus; Data source; Wine,1.42,1.39,1.23,1.19,1.22,1.25,1.32,1.41,1.42,1.43,1.44,1.46,1.88,1.51,2.23,2.25,2.26,1.53,2.31,
Cyprus; Data source; Spirits,2.5,2.49,2.36,2.24,2.17,1.72,2.43,2.58,2.3,2.18,2.2,2.38,2.41,2.45,2.32,2.19,2.19,2.2,2.21,
Czech Republic; Data source; All types,13.17,14.64,14.2,13.62,13.33,13.11,12.95,12.66,11.57,11.9,11.42,10.61,10.64,10.49,10.18,9.36,9.06,9.12,9,
Czech Republic; Data source; Beer,6.73,7.46,7.24,7.41,7.31,7.46,7.54,7.57,7.1,6.86,6.77,6.62,6.81,6.76,6.52,6.1,6.15,5.87,5.65,
Czech Republic; Data source; Wine,2.22,2.5,2.45,2.34,2.31,2.16,2.04,2.04,2.12,2.04,1.85,1.69,1.97,2.07,2.25,1.99,1.58,1.81,2,
Czech Republic; Data source; Spirits,4.22,4.68,4.51,3.87,3.71,3.49,3.37,3.05,2.35,3,2.8,2.3,1.86,1.66,1.41,1.27,1.33,1.44,1.35,
Democratic People's Republic of Korea; Data source; All types,2.46,2.43,2.16,2.11,2.26,2.93,2.96,2.66,2.74,2.63,2.66,2.39,2.46,2.65,2.83,2.97,2.96,2.89,2.77,
Democratic People's Republic of Korea; Data source; Beer,0.47,0.46,0.43,0.43,0.47,0.51,0.5,0.43,0.46,0.43,0.42,0.46,0.52,0.67,0.79,0.89,1,0.95,0.99,
Democratic People's Republic of Korea; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Democratic People's Republic of Korea; Data source; Spirits,1.99,1.97,1.73,1.67,1.79,2.42,2.46,2.23,2.28,2.2,2.24,1.93,1.93,1.98,2.04,2.08,1.96,1.94,1.78,
Democratic Republic of the Congo; Data source; All types,2.13,2.33,2.58,2.87,3.28,3.52,3.19,3.05,2.83,2.71,2.48,2.25,2.38,2.41,2.46,2.19,2.09,2.08,2.21,
Democratic Republic of the Congo; Data source; Beer,0.17,0.35,0.56,0.81,1.24,1.49,1.14,1.04,0.85,0.78,0.61,0.35,0.48,0.49,0.5,0.3,0.21,0.19,0.3,
Democratic Republic of the Congo; Data source; Wine,0,0.01,0,0.02,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.01,
Democratic Republic of the Congo; Data source; Spirits,0,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0,0,0,0.02,0.03,0.05,0,0,0,0,
Democratic Republic of the Congo; Data source; Other alcoholic beverages,1.96,1.97,2.02,2.03,2.02,2.01,2,1.96,1.93,1.91,1.85,1.87,1.86,1.87,1.87,1.87,1.86,1.87,1.9,
Denmark; Data source; All types,11.41,10.91,11.43,11.84,11.47,10.68,10.89,10.1,9.4,9.58,8.86,8.06,7.89,7.67,7,7.23,6.65,6.56,6.54,
Denmark; Data source; Beer,7.65,7.48,7.46,7.65,7.59,7.25,7.37,7.03,6.6,7.07,6.67,6.16,5.98,5.81,5.15,5.51,5.18,5.05,5.03,
Denmark; Data source; Wine,1.94,1.71,1.65,1.77,1.63,1.38,1.53,1.07,0.96,0.85,0.73,0.63,0.63,0.6,0.59,0.55,0.48,0.56,0.53,
Denmark; Data source; Spirits,1.82,1.72,2.32,2.42,2.25,2.05,1.99,2,1.84,1.66,1.46,1.27,1.28,1.26,1.26,1.17,0.99,0.95,0.99,
Djibouti; Data source; All types,2.1,2.73,2.6,1.67,2.44,2.65,3.35,2.85,3.22,3.46,3.29,3.97,3.49,3.96,3.69,4.01,4.09,4.37,3.98,
Djibouti; Data source; Beer,0.45,0.93,1.12,0.93,1.38,1.24,1.72,1.14,1.59,1.79,1.54,1.62,1.46,1.56,1.51,1.46,1.74,1.47,1.59,
Djibouti; Data source; Wine,0.58,0.51,0.76,0.75,1.06,1.41,1.64,1.71,1.63,1.67,1.75,2.34,2.04,2.4,2.18,2.55,2.34,2.9,2.39,
Djibouti; Data source; Spirits,1.01,1.29,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic; Data source; All types,3.75,3.46,3.7,3.32,3,2.91,2.51,2.48,2.34,2.25,2.04,1.89,1.82,2.01,1.87,2.23,2.28,2.07,1.18,
Dominican Republic; Data source; Beer,1.43,1.18,1,0.76,0.74,0.83,0.85,0.89,0.79,0.7,0.63,0.52,0.38,0.44,0.45,0.71,0.71,0.57,0.22,
Dominican Republic; Data source; Wine,0.04,0.04,0.05,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0,
Dominican Republic; Data source; Spirits,2.28,2.24,2.64,2.53,2.22,2.05,1.64,1.56,1.52,1.53,1.4,1.34,1.43,1.54,1.4,1.5,1.55,1.48,0.95,
Ecuador; Data source; All types,3.56,3.72,3.11,3.22,2.76,2.32,1.99,1.82,1.53,1.5,1.69,1.59,1.45,1.52,1.44,1.42,1.26,1.28,1.25,
Ecuador; Data source; Beer,2.05,2.07,1.64,1.54,1.23,1.1,1.05,0.94,0.83,0.88,0.82,0.72,0.66,0.68,0.67,0.68,0.58,0.65,0.68,
Ecuador; Data source; Wine,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,
Ecuador; Data source; Spirits,1.45,1.61,1.42,1.65,1.5,1.19,0.92,0.86,0.69,0.62,0.86,0.85,0.78,0.82,0.75,0.73,0.67,0.62,0.55,
Egypt; Data source; All types,0.29,0.3,0.24,0.19,0.11,0.17,0.19,0.18,0.27,0.35,0.44,0.43,0.47,0.51,0.53,0.54,0.54,0.57,0.57,
Egypt; Data source; Beer,0.06,0.08,0.07,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,
Egypt; Data source; Wine,0.01,0.01,0,0,0,0,0,0,0.01,0,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,
Egypt; Data source; Spirits,0.22,0.22,0.17,0.13,0.05,0.12,0.13,0.13,0.22,0.3,0.38,0.36,0.41,0.44,0.47,0.48,0.49,0.5,0.51,
El Salvador; Data source; All types,2.98,3.01,3.06,2.76,2.55,2.23,1.62,1.54,1.53,1.62,1.49,1.56,1.53,1.52,1.72,1.59,1.5,1.52,1.51,
El Salvador; Data source; Beer,0.85,0.87,0.86,0.85,0.78,0.68,0.5,0.5,0.46,0.46,0.37,0.34,0.34,0.35,0.37,0.37,0.41,0.43,0.43,
El Salvador; Data source; Wine,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,
El Salvador; Data source; Spirits,2.09,2.1,2.17,1.88,1.75,1.52,1.1,1.02,1.06,1.15,1.09,1.2,1.18,1.13,1.32,1.2,1.07,1.08,1.06,
Eritrea; Data source; All types,0.63,0.51,0.55,0.58,,0.57,0.55,0.57,0.59,0.68,0.61,0.72,0.74,0.75,0.77,0.79,0.81,0.83,0.86,
Eritrea; Data source; Beer,0.63,0.51,0.55,0.58,,0.57,0.55,0.57,0.59,0.68,0.61,0.72,0.74,0.75,0.77,0.79,0.81,0.83,0.86,
Eritrea; Data source; Wine,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eritrea; Data source; Spirits,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia; Data source; All types,0.84,0.61,0.79,0.48,0.58,0.7,0.7,0.78,0.84,0.83,0.82,0.81,0.84,0.88,0.89,0.84,0.85,0.86,0.86,
Ethiopia; Data source; Beer,0.84,0.61,0.79,0.48,0.58,0.7,0.7,0.78,0.84,0.83,0.82,0.81,0.84,0.88,0.89,0.84,0.85,0.86,0.86,
Ethiopia; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fiji; Data source; All types,3.11,2.98,3.17,3.05,3,3.15,3.08,2.62,2.33,2,1.83,1.61,1.26,1.42,1.67,1.56,1.21,1.1,1.24,
Fiji; Data source; Beer,2.14,1.99,2.05,2.07,2.07,2.04,1.72,1.55,1.37,1.22,1.01,0.88,0.75,0.76,0.74,0.72,0.57,0.59,0.69,
Fiji; Data source; Wine,0.11,0.09,0.11,0.09,0.08,0.11,0.16,0.1,0.09,0.08,0.05,0.06,0.04,0.03,0.04,0.04,0.03,0.02,0.02,
Fiji; Data source; Spirits,0.87,0.89,1.02,0.9,0.84,1,1.19,0.97,0.86,0.7,0.76,0.67,0.47,0.63,0.89,0.8,0.61,0.48,0.53,
Finland; Data source; All types,7.84,7.89,8.15,8.09,8,8.42,7.38,6.8,6.39,5.84,5.72,3.93,3.63,3.46,3.28,3.1,3.07,3.02,2.91,
Finland; Data source; Beer,3.21,3.15,3.18,3.12,3.11,3.24,3.09,3.04,2.78,2.69,2.86,1.28,1.01,0.88,0.78,0.69,0.64,0.61,0.57,
Finland; Data source; Wine,0.91,0.92,0.88,0.92,0.99,1.16,0.92,0.76,0.76,0.7,0.65,0.65,0.62,0.58,0.53,0.49,0.42,0.37,0.32,
Finland; Data source; Spirits,1.73,1.77,1.9,1.87,1.81,1.87,1.56,1.39,1.32,1.14,1.03,0.93,0.93,0.93,0.91,0.89,0.93,0.95,0.94,
Finland; Data source; Other alcoholic beverages,1.99,2.05,2.19,2.17,2.09,2.15,1.81,1.61,1.53,1.31,1.18,1.07,1.07,1.07,1.06,1.03,1.08,1.09,1.08,
France; Data source; All types,19.4,19.88,20.74,20.84,21.12,21.15,21.4,21.2,21.44,21.77,22.15,22.48,23.05,23.32,23.37,23.96,24.63,24.6,26.04,
France; Data source; Beer,2.94,2.94,3.01,3.19,2.95,2.91,2.94,2.67,2.78,2.75,2.71,2.67,2.73,2.71,2.63,2.76,2.47,1.82,2.53,
France; Data source; Wine,13.19,13.75,14.64,14.59,14.99,15.09,15.34,15.58,15.77,15.96,16.48,16.94,16.97,17.23,17.39,17.91,18.94,19.71,20.56,
France; Data source; Spirits,3.27,3.19,3.09,3.06,3.18,3.15,3.12,2.95,2.89,3.06,2.96,2.87,3.35,3.38,3.35,3.29,3.22,3.07,2.95,
Gabon; Data source; All types,11.48,12.7,13.76,14.57,10.61,7.33,6.25,6.39,6.17,5.96,5.86,5.73,6.85,6.13,6.17,6.77,5.31,6.02,5.52,
Gabon; Data source; Beer,5.82,5.84,5.34,4.52,4.19,3.13,2.47,2.23,2.02,1.65,1.15,0.85,1.81,1.63,1.81,2.69,1.47,1.71,1.75,
Gabon; Data source; Wine,4.49,5.35,6.9,8.56,5.05,3.28,3.2,3.61,3.64,3.85,4.34,4.5,4.74,4.16,3.99,3.74,3.53,4.05,3.51,
Gabon; Data source; Spirits,1.17,1.5,1.52,1.49,1.37,0.92,0.58,0.54,0.5,0.45,0.37,0.39,0.3,0.34,0.37,0.34,0.31,0.27,0.26,
Gambia; Data source; All types,1.32,1.15,1.07,1.11,1.39,2.31,2.45,2.47,2.53,2.28,2.54,2.49,2.37,2.58,2.81,2.91,3.04,3.08,3.18,
Gambia; Data source; Beer,0.05,0.04,0.03,0.04,0.05,0.08,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.11,0.11,0.11,0.12,0.12,
Gambia; Data source; Wine,0.1,0.12,0.14,0.1,0.15,0.14,0.14,0.11,0.12,0.11,0.12,0.14,0.16,0.1,0.12,0.13,0.16,0.14,0.17,
Gambia; Data source; Spirits,0.07,0.07,0.07,0.08,0.04,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,
Gambia; Data source; Other alcoholic beverages,1.1,0.92,0.83,0.9,1.15,2.04,2.16,2.22,2.3,2.06,2.29,2.24,2.09,2.36,2.55,2.64,2.73,2.78,2.85,
Germany; Data source; All types,16.67,16.27,16.44,17.23,16.84,15.92,16.74,16.25,16.54,15.53,14.98,14.04,13.51,13.59,14,13.71,12.85,12.05,11.03,
Germany; Data source; Beer,8.93,9.02,9.29,9.51,9.42,9.45,9.49,9.43,9.38,9.14,8.99,8.34,8.21,8.14,7.88,7.85,7.26,6.86,6.47,
Germany; Data source; Wine,3.59,3.54,3.51,3.57,3.55,3.07,3.34,3.02,2.85,2.49,2.43,2.37,2.42,2.41,2.6,2.77,2.36,2.15,1.86,
Germany; Data source; Spirits,4.15,3.72,3.65,4.16,3.87,3.4,3.91,3.8,4.31,3.9,3.55,3.34,2.88,3.04,3.52,3.08,3.22,3.04,2.7,
Ghana; Data source; All types,1.86,1.57,1.99,2.34,1.93,2.36,2.14,2.07,2.18,1.86,1.35,1.27,1.44,1.66,1.39,1.53,1.48,1.47,1.46,
Ghana; Data source; Beer,0.37,0.32,0.41,0.47,0.39,0.48,0.44,0.43,0.45,0.39,0.28,0.26,0.3,0.34,0.29,0.32,0.3,0.3,0.3,
Ghana; Data source; Wine,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.02,
Ghana; Data source; Spirits,0.07,0.04,0.03,0.07,0.05,0.05,0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0,0.02,0.01,0.01,
Ghana; Data source; Other alcoholic beverages,1.41,1.2,1.54,1.79,1.48,1.82,1.66,1.63,1.7,1.45,1.06,1,1.13,1.3,1.07,1.2,1.15,1.15,1.13,
Greece; Data source; All types,11.59,11.39,10.92,11.01,10.88,10.88,10.67,10.43,10.39,10.33,10.18,10.15,10.09,10.1,9.99,9.82,9.67,,,
Greece; Data source; Beer,1.99,1.7,1.38,1.9,1.27,2.11,2.55,2.54,0.98,2.48,2.46,2.4,2.4,2.45,2.45,2.26,2.33,,,
Greece; Data source; Wine,6.16,5.79,6.02,4.99,5.69,5.21,4.71,4.5,5.74,4.49,4.39,4.12,4.56,4.13,4.24,4.41,4.47,,,
Greece; Data source; Spirits,3.44,3.9,3.52,4.12,3.92,3.56,3.41,3.39,3.67,3.36,3.33,3.63,3.13,3.52,3.3,3.15,2.87,,,
Guatemala; Data source; All types,2.45,2.47,2.54,3.06,2.94,2.99,3,2.29,2.1,1.85,1.9,1.9,1.97,2.2,2.26,2.28,2.28,2.24,2.36,
Guatemala; Data source; Beer,0.88,0.9,0.78,0.77,0.73,0.68,0.61,0.53,0.51,0.47,0.45,0.42,0.42,0.43,0.42,0.38,0.35,0.31,0.33,
Guatemala; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala; Data source; Spirits,1.57,1.58,1.76,2.29,2.21,2.31,2.38,1.76,1.59,1.38,1.45,1.48,1.55,1.77,1.84,1.89,1.93,1.93,2.03,
Guinea; Data source; All types,0.08,0.12,0.14,0.13,0.12,0.11,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.22,0.24,
Guinea; Data source; Beer,0.07,0.12,0.14,0.13,0.12,0.11,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,
Guinea; Data source; Wine,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.06,0.07,
Guinea; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guinea-Bissau; Data source; All types,2.63,2.32,3.22,2.86,3.16,3.46,4.07,3.11,3.23,3.08,3.17,3.38,3.2,3.49,3.07,3.01,2.81,2.32,2.13,
Guinea-Bissau; Data source; Beer,0.41,0.25,0.53,0.34,0.47,0.48,0.33,0.37,0.36,0.3,0.31,0.18,0.18,0.13,0,0,0,0,0,
Guinea-Bissau; Data source; Wine,0.17,0.09,0.6,0.69,0.98,1.22,1.46,1.25,1.3,1.2,1.29,1.48,1.23,1.61,1.54,1.56,1.43,0.99,0.86,
Guinea-Bissau; Data source; Spirits,0.89,0.93,1.02,1.04,1.02,1.15,1.61,0.99,1.12,1.04,1.03,1.07,1.05,1,0.94,0.89,0.83,0.78,0.72,
Guinea-Bissau; Data source; Other alcoholic beverages,1.16,1.04,1.06,0.79,0.68,0.62,0.67,0.5,0.45,0.55,0.55,0.65,0.74,0.74,0.59,0.56,0.56,0.56,0.56,
Guyana; Data source; All types,4.14,4.45,4.07,4.48,3.55,3.58,3.14,3.03,3.53,2.83,2.62,2.8,3.43,2.9,3.06,2.77,2.72,3.12,3.24,
Guyana; Data source; Beer,1.63,1.71,1.93,1.73,1.24,1.07,1.08,0.94,0.86,0.85,0.94,0.79,0.97,0.88,0.76,0.62,0.55,0.63,0.72,
Guyana; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guyana; Data source; Spirits,2.52,2.74,2.14,2.75,2.3,2.5,2.05,2.08,2.61,1.94,1.62,1.96,2.41,1.97,2.25,2.1,2.14,2.45,2.47,
Guyana; Data source; Other alcoholic beverages,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,
Haiti; Data source; All types,6.35,6.25,6.25,6.36,6.34,6.32,6.31,6.15,6.12,6.09,5.92,5.75,5.5,6.27,6.52,6.32,7.61,7.58,7.62,
Haiti; Data source; Beer,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,
Haiti; Data source; Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,
Haiti; Data source; Spirits,6.34,6.24,6.23,6.34,6.33,6.3,6.29,6.14,6.1,6.08,5.91,5.75,5.49,6.26,6.5,6.31,7.6,7.56,7.6,
Honduras; Data source; All types,2.93,2.71,2.59,2.22,2.3,2.33,2.21,2.1,2.09,2.04,1.79,1.81,1.66,1.72,1.66,1.46,1.29,1.32,1.29,
Honduras; Data source; Beer,1.11,0.97,0.88,0.69,0.93,0.94,0.99,0.97,0.92,0.86,0.78,0.71,0.67,0.69,0.72,0.69,0.58,0.63,0.6,
Honduras; Data source; Wine,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,
Honduras; Data source; Spirits,1.8,1.72,1.69,1.52,1.36,1.38,1.21,1.13,1.17,1.12,0.98,1.06,0.97,1,0.91,0.74,0.69,0.68,0.68,
Hungary; Data source; All types,15.59,16.06,15.67,14.72,13.79,12.86,12.82,12.73,12.79,12.4,11.77,10.64,10.42,9.58,9.53,10.21,9.14,9.26,9.02,
Hungary; Data source; Beer,5.5,5.47,5.1,4.81,4.54,4.19,3.86,3.6,3.79,3.75,3.44,3.27,3.2,3,2.88,2.78,2.71,2.61,2.59,
Hungary; Data source; Wine,4.78,4.73,4.73,4.89,4.72,4.77,5.31,5.3,5.33,5.24,5.37,4.88,4.83,4.32,4.7,4.94,4.25,4.59,4.3,
Hungary; Data source; Spirits,5.31,5.86,5.84,5.02,4.53,3.9,3.65,3.83,3.67,3.41,2.96,2.49,2.39,2.26,1.95,2.49,2.18,2.06,2.13,
Iceland; Data source; All types,5.12,4.8,5.09,4.76,4.75,5.3,5.19,5.04,4.88,4.57,3.91,3.87,4.42,4.2,3.79,3.64,3.55,3.41,3.04,
Iceland; Data source; Beer,1.01,1,1.01,0.93,0.85,1.07,1.15,1.07,1.03,0.98,0.79,0.82,0.94,0.78,0.76,0.74,0.7,0.69,0.62,
Iceland; Data source; Wine,0.85,0.66,0.62,0.55,0.47,0.41,0.37,0.34,0.31,0.29,0.26,0.26,0.27,0.25,0.23,0.22,0.2,0.19,0.17,
Iceland; Data source; Spirits,3.26,3.14,3.46,3.28,3.43,3.82,3.67,3.63,3.54,3.3,2.86,2.79,3.21,3.17,2.8,2.68,2.65,2.53,2.25,
Iceland; Data source; Other alcoholic beverages,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,
India; Data source; All types,1.08,1.11,1.05,1.05,0.98,1.02,0.98,0.93,0.93,0.83,0.85,0.81,0.69,0.67,0.6,0.67,0.6,0.71,0.71,
India; Data source; Beer,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,
India; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
India; Data source; Spirits,1.06,1.1,1.04,1.04,0.97,1.01,0.97,0.92,0.92,0.83,0.85,0.81,0.69,0.67,0.6,0.67,0.6,0.71,0.71,
India; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indonesia; Data source; All types,0.07,0.07,0.07,0.06,0.08,0.09,0.08,0.07,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Indonesia; Data source; Beer,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,
Indonesia; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indonesia; Data source; Spirits,0.04,0.03,0.04,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,
Iran (Islamic Republic of); Data source; All types,0.05,0.25,0.41,0.48,0.5,0.53,0.56,0.45,0.35,0.3,0.36,0.33,0.19,0.18,0.17,0.14,0.14,0.14,0.14,
Iran (Islamic Republic of); Data source; Beer,0.02,0.14,0.15,0.13,0.12,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.03,0.05,0.04,0.02,0.02,0.03,0.03,
Iran (Islamic Republic of); Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iran (Islamic Republic of); Data source; Spirits,0.03,0.12,0.26,0.35,0.38,0.41,0.44,0.35,0.26,0.21,0.26,0.25,0.15,0.12,0.13,0.12,0.12,0.11,0.11,
Iraq; Data source; All types,0.73,0.69,0.62,0.64,0.64,0.54,0.48,0.43,0.4,0.38,0.42,0.43,0.39,0.43,0.42,0.43,0.45,0.48,0.52,
Iraq; Data source; Beer,0.29,0.23,0.15,0.15,0.16,0.1,0.1,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.05,
Iraq; Data source; Wine,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iraq; Data source; Spirits,0.44,0.45,0.47,0.49,0.47,0.44,0.37,0.34,0.32,0.31,0.36,0.37,0.33,0.37,0.37,0.39,0.41,0.43,0.46,
Ireland; Data source; All types,13.83,13.86,13.56,13.55,13.84,13.67,13.11,12,11.13,10.58,9.17,8.77,8.02,7.87,7.7,7.67,7.39,,,
Ireland; Data source; Beer,8.88,8.8,8.7,8.94,9.35,9.44,9.15,8.34,7.84,7.3,6.79,6.56,6,5.95,5.74,5.82,5.6,,,
Ireland; Data source; Wine,0.82,0.83,0.87,0.85,0.73,0.68,0.61,0.56,0.56,0.57,0.51,0.49,0.47,0.45,0.42,0.4,0.38,,,
Ireland; Data source; Spirits,3.24,3.31,3.13,2.95,2.95,2.77,2.63,2.44,2.14,2.12,1.87,1.72,1.54,1.47,1.54,1.45,1.41,,,
Ireland; Data source; Other alcoholic beverages,0.89,0.91,0.86,0.81,0.81,0.77,0.73,0.67,0.59,0.59,0,0,0,0,0,0,0,,,
Israel; Data source; All types,3.05,3.52,3.92,5,5.09,4.74,4.86,4.91,4.66,4.56,4.89,4.51,4.48,4.38,4.86,5.05,4.12,4.8,4.39,
Israel; Data source; Beer,1.07,1.12,1.05,1.16,1.12,1.09,1.12,1.07,1.13,1.13,1.07,1.02,0.88,1.07,1.07,1.04,1.07,1.04,1.01,
Israel; Data source; Wine,0.69,0.68,0.72,1.54,1.49,1.62,1.72,1.94,1.45,1.42,1.8,1.69,1.92,1.7,1.96,2.26,1.44,2.03,1.71,
Israel; Data source; Spirits,1.11,1.53,1.98,2.04,2.24,1.79,1.77,1.67,1.84,1.76,1.81,1.6,1.49,1.41,1.63,1.54,1.39,1.5,1.43,
Israel; Data source; Other alcoholic beverages,0.18,0.19,0.17,0.26,0.24,0.24,0.25,0.23,0.24,0.25,0.21,0.2,0.19,0.2,0.2,0.21,0.22,0.23,0.24,
Italy; Data source; All types,16.49,16.53,16.99,17.6,18.32,19.65,19.89,19.49,19.56,19.72,19.73,19.71,19.01,18.73,18.42,17.75,18.18,19.44,19.24,
Italy; Data source; Beer,1.09,0.97,0.91,0.93,0.84,0.98,1.04,0.8,0.73,0.75,0.73,0.71,0.69,0.65,0.57,0.55,0.54,0.49,0.4,
Italy; Data source; Wine,12.81,13.03,13.46,14.18,15.1,15.89,15.93,16.18,16.44,16.58,16.75,16.89,16.2,16.1,16,15.09,15.66,17.23,17.24,
Italy; Data source; Spirits,2.59,2.47,2.62,2.5,2.38,2.78,2.92,2.52,2.39,2.39,2.25,2.12,2.12,1.98,1.85,2.11,1.98,1.72,1.59,
